State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,SPSR Nellore,2024-02-12,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-13,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-16,2024,02,0.3072413787,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-18,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-24,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-25,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-29,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-01,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-06,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-10,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-12,2024,03,7.20893e-05,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-14,2024,03,0.0097638461,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-17,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-18,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-19,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-03-21,2024,03,0.0007926903,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-04,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-07,2024,04,0.001334076,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-09,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-14,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-15,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-20,2024,04,0.0001061242,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-23,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-04-29,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-05-01,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-05-02,2024,05,0.0002824076,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-05-09,2024,05,0.0063636621,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-05-11,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-05-19,2024,05,2.3160081148,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-06-09,2024,06,20.1730313777,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-06-28,2024,06,1.5621249893,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-06-29,2024,06,0.8211452959,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-06-30,2024,06,8.4475639024,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-02,2024,07,2.5905572592,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-03,2024,07,0.1851379664,NRSC VIC MODEL
