SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Temperature (ºC),Turbidity (NTU)
827,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2009 00:00,"",
828,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2010 00:00,"",
829,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2011 00:00,"",
830,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2012 00:00,"",
831,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2013 00:00,"",
832,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2014 00:00,"",
833,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2015 00:00,"",
834,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2016 00:00,"",
835,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2017 00:00,"",
836,Bangarumitta,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,CHODAVARAM,CHODAVARAM,Bangarumitta,-,-,-,-,-,-,17.77083333,82.90833333,25-05-2018 00:00,"",
837,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2001 00:00,"",
838,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2002 00:00,"",
839,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2005 00:00,"",
840,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2006 00:00,"",
841,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2007 00:00,"",
842,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2008 00:00,"",
843,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2009 00:00,"",
844,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2013 00:00,"",
845,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2016 00:00,"",
846,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2017 00:00,"",
847,Banpimpri,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Banpimpri,-,-,-,-,-,-,18.83333333,74.86666667,25-05-2018 00:00,"",
848,Bantumilli,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2004 00:00,"",
849,Bantumilli,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2005 00:00,"",
850,Bantumilli,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2006 00:00,"",
851,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2002 00:00,"",
852,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2007 00:00,"",
853,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2008 00:00,"",
854,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2009 00:00,"",
855,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2010 00:00,"",
856,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2011 00:00,"",
857,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2012 00:00,"",
858,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2013 00:00,"",
859,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2014 00:00,"",
860,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2015 00:00,"",
861,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2016 00:00,"",
862,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2017 00:00,"",
863,Bantumilli1,CGWB,28,Andhra Pradesh,510,KRISHNA,BANTUMILLI,BANTUMILLI,Bantumilli,-,-,-,-,-,-,16.37000000,81.27388889,25-05-2018 00:00,"",
864,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2013 00:00,"",
865,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2014 00:00,"",
866,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2015 00:00,"",
867,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2016 00:00,"",
868,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2017 00:00,"",
869,Bapatla-Dw,CGWB,28,Andhra Pradesh,506,GUNTUR,BAPATLA,BAPATLA,Bapatla-Dw,-,-,-,-,-,-,15.91583333,80.48250000,25-05-2018 00:00,"",
870,Bapulapadu-PZ 3,CGWB,28,Andhra Pradesh,510,KRISHNA,BAPULAPADU,BAPULAPADU,Bapulapadu-3,-,-,-,-,-,-,16.64583333,80.96250000,25-05-2018 00:00,"",
871,Bapuram,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,ADONI,Bapuram,-,-,-,-,-,-,15.75305556,77.26250000,25-05-2007 00:00,"",
872,Bapuram,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,ADONI,Bapuram,-,-,-,-,-,-,15.75305556,77.26250000,25-05-2010 00:00,"",
873,Bapuram1,CGWB,28,Andhra Pradesh,511,KURNOOL,EMMIGANUR,EMMIGANUR,Bapuram,-,-,-,-,-,-,15.76166667,77.47916667,25-05-2018 00:00,"",
874,Baradgaon Sudrik,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Baradgaon Sudrik,-,-,-,-,-,-,18.45833333,74.82333333,25-05-2018 00:00,"",
875,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2000 00:00,"",
876,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2003 00:00,"",
877,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2004 00:00,"",
878,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2006 00:00,"",
879,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2007 00:00,"",
880,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2008 00:00,"",
881,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2009 00:00,"",
882,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2010 00:00,"",
883,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2011 00:00,"",
884,Barota,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barota,-,-,-,-,-,-,32.05833333,75.72083333,25-05-2015 00:00,"",
885,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2000 00:00,"",
886,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2001 00:00,"",
887,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2002 00:00,"",
888,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2003 00:00,"",
889,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2004 00:00,"",
890,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2005 00:00,"",
891,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2006 00:00,"",
892,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2007 00:00,"",
893,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2008 00:00,"",
894,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2009 00:00,"",
895,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2010 00:00,"",
896,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2011 00:00,"",
897,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2012 00:00,"",
898,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2013 00:00,"",
899,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2014 00:00,"",
900,Barshi Takli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Barshi Takli,-,-,-,-,-,-,20.58333333,77.06666667,25-05-2017 00:00,"",
901,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2002 00:00,"",
902,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2004 00:00,"",
903,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2005 00:00,"",
904,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2006 00:00,"",
905,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2007 00:00,"",
906,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2008 00:00,"",
907,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2009 00:00,"",
908,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2010 00:00,"",
909,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2011 00:00,"",
910,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2012 00:00,"",
911,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2013 00:00,"",
912,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2014 00:00,"",
913,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2015 00:00,"",
914,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2016 00:00,"",
915,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2017 00:00,"",
916,Baruva,CGWB,28,Andhra Pradesh,519,SRIKAKULAM,SOMPETA,SOMPETA,Baruva,-,-,-,-,-,-,18.88333333,84.56944444,25-05-2018 00:00,"",
917,Basani Khonda-DW14,CGWB,28,Andhra Pradesh,503,CHITTOOR,MADANAPALLE,MADANAPALLE,Basani Khonda,-,-,-,-,-,-,13.55305556,78.52916667,25-05-2014 00:00,"",
918,Basani Khonda-DW14,CGWB,28,Andhra Pradesh,503,CHITTOOR,MADANAPALLE,MADANAPALLE,Basani Khonda,-,-,-,-,-,-,13.55305556,78.52916667,25-05-2016 00:00,"",
919,Basani Khonda-DW14,CGWB,28,Andhra Pradesh,503,CHITTOOR,MADANAPALLE,MADANAPALLE,Basani Khonda,-,-,-,-,-,-,13.55305556,78.52916667,25-05-2017 00:00,"",
920,Basani Khonda-DW14,CGWB,28,Andhra Pradesh,503,CHITTOOR,MADANAPALLE,MADANAPALLE,Basani Khonda,-,-,-,-,-,-,13.55305556,78.52916667,25-05-2018 00:00,"",
921,Basavanahalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,AMARAPURAM,AMARAPURAM,Basavanahalli,-,-,-,-,-,-,14.02750000,77.06444444,25-05-2000 00:00,"",
922,Basavanahalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,AMARAPURAM,AMARAPURAM,Basavanahalli,-,-,-,-,-,-,14.02750000,77.06444444,25-05-2001 00:00,"",
923,Basavanahalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,AMARAPURAM,AMARAPURAM,Basavanahalli,-,-,-,-,-,-,14.02750000,77.06444444,25-05-2002 00:00,"",
924,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2001 00:00,"",
925,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2002 00:00,"",
926,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2004 00:00,"",
927,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2006 00:00,"",
928,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2008 00:00,"",
929,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2009 00:00,"",
930,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2010 00:00,"",
931,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2011 00:00,"",
932,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2012 00:00,"",
933,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2013 00:00,"",
934,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2014 00:00,"",
935,Bata,CGWB,28,Andhra Pradesh,515,NELLORE,MARRIPADU,MARRIPADU,Bata,-,-,-,-,-,-,14.75000000,79.21666667,25-05-2015 00:00,"",
936,Bata Jangalapalem-DW14,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,SABBAVARAM,SABBAVARAM,Bata Jangalapalem,-,-,-,-,-,-,17.80861111,83.16027778,25-05-2014 00:00,"",
937,Batrepally 2013DW,CGWB,28,Andhra Pradesh,502,ANANTAPUR,TALUPULA,TALUPULA,Batrepally,-,-,-,-,-,-,14.25083333,78.18027778,25-05-2013 00:00,"",
938,Batrepally 2013DW,CGWB,28,Andhra Pradesh,502,ANANTAPUR,TALUPULA,TALUPULA,Batrepally,-,-,-,-,-,-,14.25083333,78.18027778,25-05-2014 00:00,"",
939,Battiprolu,CGWB,28,Andhra Pradesh,506,GUNTUR,CHERUKUPALLE,CHERUKUPALLE,Battiprolu,-,-,-,-,-,-,16.08666667,80.75277778,25-05-2011 00:00,"",
940,Battiprolu,CGWB,28,Andhra Pradesh,506,GUNTUR,CHERUKUPALLE,CHERUKUPALLE,Battiprolu,-,-,-,-,-,-,16.08666667,80.75277778,25-05-2012 00:00,"",
941,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2002 00:00,"",
942,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2003 00:00,"",
943,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2004 00:00,"",
944,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2005 00:00,"",
945,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2006 00:00,"",
946,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2007 00:00,"",
947,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2008 00:00,"",
948,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2009 00:00,"",
949,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2010 00:00,"",
950,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2011 00:00,"",
951,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2012 00:00,"",
952,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2013 00:00,"",
953,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2014 00:00,"",
954,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2015 00:00,"",
955,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2016 00:00,"",
956,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2017 00:00,"",
957,Battulur,CGWB,28,Andhra Pradesh,511,KURNOOL,RUDRAVARAM,RUDRAVARAM,Battulur,-,-,-,-,-,-,15.24583333,78.50000000,25-05-2018 00:00,"",
958,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2000 00:00,"",
959,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2002 00:00,"",
960,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2004 00:00,"",
961,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2006 00:00,"",
962,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2007 00:00,"",
963,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2008 00:00,"",
964,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2009 00:00,"",
965,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2010 00:00,"",
966,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2012 00:00,"",
967,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2013 00:00,"",
968,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2014 00:00,"",
969,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2015 00:00,"",
970,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2016 00:00,"",
971,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2017 00:00,"",
972,Battuvaripalli,CGWB,28,Andhra Pradesh,503,CHITTOOR,SODUM,SODUM,Battuvaripalli,-,-,-,-,-,-,13.53333333,78.90555556,25-05-2018 00:00,"",
